                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.51889,                0.35741,                0.90631,                 0.9281,                 0.9363,                 0.9702,                 0.8849,                 0.4658,                0.32367,                0.88739,               0.007294,               0.007294,               0.007294
                     85,                0.52301,                0.35349,                0.90616,                0.93411,                0.93633,                0.97153,                 0.8862,                0.46268,                0.32295,                0.88695,               0.007261,               0.007261,               0.007261
                     86,                0.51988,                0.35582,                0.90401,                0.93194,                0.93494,                0.96995,                0.88734,                0.46119,                0.32186,                0.88423,               0.007228,               0.007228,               0.007228
                     87,                0.51371,                0.35666,                0.90465,                0.93239,                0.94037,                 0.9695,                0.88698,                0.46328,                0.31995,                 0.8859,               0.007195,               0.007195,               0.007195
                     88,                0.51223,                0.35379,                0.90036,                0.93244,                0.94094,                0.97031,                0.88639,                0.46257,                0.31887,                0.88587,               0.007162,               0.007162,               0.007162
                     89,                0.51207,                0.35229,                0.90384,                0.93325,                 0.9347,                0.96973,                0.88629,                0.45885,                0.31926,                0.88512,               0.007129,               0.007129,               0.007129
                     90,                0.50966,                0.35233,                0.90139,                 0.9357,                0.93371,                0.97116,                0.88878,                0.45764,                0.31647,                0.88433,               0.007096,               0.007096,               0.007096
                     91,                0.51124,                 0.3489,                0.89988,                0.93199,                0.94185,                0.97242,                0.89143,                0.45821,                0.31774,                0.88424,               0.007063,               0.007063,               0.007063
                     92,                0.51108,                0.34826,                0.90431,                0.92576,                0.94664,                0.97182,                0.89073,                0.45772,                0.31727,                0.88539,                0.00703,                0.00703,                0.00703
                     93,                0.50665,                0.34786,                0.90167,                0.93526,                0.93628,                0.97236,                 0.8914,                0.45643,                0.31791,                0.88326,               0.006997,               0.006997,               0.006997
                     94,                0.50336,                0.34235,                0.90032,                0.92879,                0.93764,                0.97098,                0.89046,                0.45661,                0.31995,                0.88289,               0.006964,               0.006964,               0.006964
                     95,                0.50141,                0.34068,                0.89544,                0.92652,                0.94191,                0.97188,                0.89202,                0.45378,                0.32112,                  0.881,               0.006931,               0.006931,               0.006931
                     96,                 0.5035,                0.34011,                0.89617,                0.93062,                0.93995,                0.97121,                0.89135,                0.45183,                0.32295,                0.88073,               0.006898,               0.006898,               0.006898
                     97,                0.50708,                0.34651,                0.89888,                0.93019,                0.94194,                0.97092,                0.89063,                0.45146,                0.31879,                0.88013,               0.006865,               0.006865,               0.006865
                     98,                0.50182,                0.34119,                0.89646,                 0.9316,                 0.9372,                0.97065,                0.89091,                0.45109,                0.31528,                0.87976,               0.006832,               0.006832,               0.006832
                     99,                0.50161,                0.33881,                0.89673,                0.93878,                0.93351,                0.97187,                0.89296,                0.44949,                 0.3146,                0.87864,               0.006799,               0.006799,               0.006799
